Sub,Run ,Acquisition_onset,Stimuli_onset,Lag
sub-14,raiders05,3179253,3180548,1295
sub-14,raiders06,3941597,3942942,1345
sub-14,raiders07,71260,72951,1691
sub-14,raiders08,834481,835820,1339
sub-14,raiders09,1600465,1601797,1332
sub-14,raiders10,2224646,2225914,1268
sub-14,raiders01_test,2721404,2722664,1260
sub-14,raiders02_test,3537379,3538746,1367
sub-14,raiders03_test,4196824,4198163,1339
sub-15,raiders01,70200,72268,2068
sub-15,raiders02,888439,890518,2079
sub-15,raiders03,1557046,1559052,2006
sub-15,raiders04,2255379,2257439,2060
sub-15,raiders05,3084390,3086441,2051
sub-15,raiders06,3844368,3846419,2051
sub-15,raiders07,87057,89206,2149
sub-15,raiders08,869804,871891,2087
sub-15,raiders09,1641663,1643737,2074
sub-15,raiders10,2267442,2269499,2057
sub-15,raiders01_test,2757750,2759809,2059
sub-15,raiders02_test,3575439,3577513,2074
sub-15,raiders03_test,4242004,4244074,2070
