task	contrast
StopNogo	go
StopNogo	nogo
StopNogo	successful_stop
StopNogo	unsuccessful_stop
Catell	easy_oddball
Catell	hard_oddball
FingerTapping	specified
FingerTapping	chosen
FingerTapping	null
VSTMC	stim_load1
VSTMC	stim_load2
VSTMC	stim_load3
VSTMC	resp_load1
VSTMC	resp_load2
VSTMC	resp_load3
VSTMC	stim
VSTMC	resp
RewProc	green
RewProc	purple
RewProc	left
RewProc	right
RewProc	switch
RewProc	stay
RewProc	plus_20
RewProc	minus_20
RewProc	plus_10
RewProc	minus_10
NARPS	strongly_accept
NARPS	weakly_accept
NARPS	weakly_reject
NARPS	strongly_reject
NARPS	stim
NARPS	gain
NARPS	loss
NARPS	reject-accept
FaceBody	bodies_body
FaceBody	bodies_limb
FaceBody	characters_number
FaceBody	characters_word
FaceBody	faces_adult
FaceBody	faces_child
FaceBody	objects_car
FaceBody	objects_instrument
FaceBody	places_corridor
FaceBody	places_house
Scene	scene_impossible_correct
Scene	scene_impossible_incorrect
Scene	scene_possible_correct
Scene	scene_possible_incorrect
Scene	dot_easy_left
Scene	dot_easy_right
Scene	dot_hard_left
Scene	dot_hard_right
BreathHolding	breathe
BreathHolding	get_ready
BreathHolding	hold_breath
Checkerboard	checkerboard
Checkerboard	fixation
FingerTap	fingertap
FingerTap	rest
ItemRecognition	load1_instr
ItemRecognition	encode1
ItemRecognition	probe1_mem
ItemRecognition	probe1_new
ItemRecognition	load3_instr
ItemRecognition	encode3
ItemRecognition	probe3_mem
ItemRecognition	probe3_new
ItemRecognition	load5_instr
ItemRecognition	encode5
ItemRecognition	probe5_mem
ItemRecognition	probe5_new
ItemRecognition	arrow_right
ItemRecognition	arrow_left
VisualSearch	memory_array_two
VisualSearch	memory_array_four
VisualSearch	delay_wm
VisualSearch	probe_item_two_absent
VisualSearch	probe_item_four_absent
VisualSearch	probe_item_two_present
VisualSearch	probe_item_four_present
VisualSearch	sample_item
VisualSearch	delay_vis
VisualSearch	search_array_two_absent
VisualSearch	search_array_two_present
VisualSearch	search_array_four_absent
VisualSearch	search_array_four_present
VisualSearch	response_hit
VisualSearch	response_miss
Color	chromatic
Color	achromatic
Color	response
Motion	incoherent
Motion	coherent
Motion	stationary
Motion	clock
Motion	anti
Motion	left
Motion	right
OptimismBias	past_positive
OptimismBias	past_negative
OptimismBias	future_positive
OptimismBias	future_negative
OptimismBias	past_neutral
OptimismBias	future_neutral
OptimismBias	inconclusive
HarririAomic	shape
HarririAomic	emotion
HarririAomic	index_response
HarririAomic	middle_response
FacesAomic	anger
FacesAomic	contempt
FacesAomic	joy
FacesAomic	pride
FacesAomic	neutral
FacesAomic	male
FacesAomic	female
FacesAomic	mediterranean
FacesAomic	european
StroopAomic	congruent
StroopAomic	incongruent
StroopAomic	face_male
StroopAomic	face_female
StroopAomic	word_male
StroopAomic	word_female
WorkingMemoryAomic	active_change
WorkingMemoryAomic	active_no_change
WorkingMemoryAomic	passive
AbstractionLocalizer	localizer_faces
AbstractionLocalizer	localizer_humanbody
AbstractionLocalizer	localizer_words
AbstractionLocalizer	localizer_nonsensewords
AbstractionLocalizer	localizer_numbers
AbstractionLocalizer	localizer_places
AbstractionLocalizer	localizer_objects
AbstractionLocalizer	localizer_checkerboards
AbstractionLocalizer	response
Abstraction	humanbody_standing_geometry
Abstraction	humanbody_walking_geometry
Abstraction	humanbody_hand_geometry
Abstraction	humanbody_legs_geometry
Abstraction	humanbody_standing_edge
Abstraction	humanbody_walking_edge
Abstraction	humanbody_hand_edge
Abstraction	humanbody_legs_edge
Abstraction	humanbody_standing_photo
Abstraction	humanbody_walking_photo
Abstraction	humanbody_hand_photo
Abstraction	humanbody_legs_photo
Abstraction	animals_bird_geometry
Abstraction	animals_fish_geometry
Abstraction	animals_giraffe_geometry
Abstraction	animals_butterfly_geometry
Abstraction	animals_bird_edge
Abstraction	animals_fish_edge
Abstraction	animals_giraffe_edge
Abstraction	animals_butterfly_edge
Abstraction	animals_bird_photo
Abstraction	animals_fish_photo
Abstraction	animals_giraffe_photo
Abstraction	animals_butterfly_photo
Abstraction	faces_face_geometry
Abstraction	faces_face2_geometry
Abstraction	faces_eyes_geometry
Abstraction	faces_cat_geometry
Abstraction	faces_face_edge
Abstraction	faces_face2_edge
Abstraction	faces_eyes_edge
Abstraction	faces_cat_edge
Abstraction	faces_face_photo
Abstraction	faces_face2_photo
Abstraction	faces_eyes_photo
Abstraction	faces_cat_photo
Abstraction	flora_tree_geometry
Abstraction	flora_flower_geometry
Abstraction	flora_cherry_geometry
Abstraction	flora_carrot_geometry
Abstraction	flora_tree_edge
Abstraction	flora_flower_edge
Abstraction	flora_cherry_edge
Abstraction	flora_carrot_edge
Abstraction	flora_tree_photo
Abstraction	flora_flower_photo
Abstraction	flora_cherry_photo
Abstraction	flora_carrot_photo
Abstraction	objects_truck_geometry
Abstraction	objects_key_geometry
Abstraction	objects_camera_geometry
Abstraction	objects_watch_geometry
Abstraction	objects_truck_edge
Abstraction	objects_key_edge
Abstraction	objects_camera_edge
Abstraction	objects_watch_edge
Abstraction	objects_truck_photo
Abstraction	objects_key_photo
Abstraction	objects_camera_photo
Abstraction	objects_watch_photo
Abstraction	places_house_geometry
Abstraction	places_mountain_geometry
Abstraction	places_road_geometry
Abstraction	places_windmill_geometry
Abstraction	places_house_edge
Abstraction	places_mountain_edge
Abstraction	places_road_edge
Abstraction	places_windmill_edge
Abstraction	places_house_photo
Abstraction	places_mountain_photo
Abstraction	places_road_photo
Abstraction	places_windmill_photo
Abstraction	response
MDTB	search_easy
MDTB	search_hard
MDTB	action_action
MDTB	action_control
MDTB	flexion_extension
MDTB	finger_complex
MDTB	finger_simple
MDTB	tom_belief
MDTB	tom_photo
MDTB	2back_easy
MDTB	2back_hard
MDTB	semantic easy
MDTB	semantic hard
Emotion	neutral_image
Emotion	negative_image
Emotion	echelle_valence
MultiModal	audio_monkey
MultiModal	audio_animal
MultiModal	audio_nature
MultiModal	audio_silence
MultiModal	audio_speech
MultiModal	audio_tools
MultiModal	audio_voice
MultiModal	tactile_bottom
MultiModal	tactile_middle
MultiModal	tactile_top
MultiModal	tactile_novalve
MultiModal	image_animals
MultiModal	image_birds
MultiModal	image_fruits
MultiModal	image_human_body
MultiModal	image_human_face
MultiModal	image_human_object
MultiModal	image_monkey_body
MultiModal	image_monkey_face
MultiModal	image_monkey_object
MultiModal	image_sculpture
