task	contrast
MathLanguage	arithmetic_principle-othermath
MathLanguage	colorlessg-wordlist
MathLanguage	context-general
MathLanguage	context-theory_of_mind
MathLanguage	general-colorlessg
MathLanguage	geometry-othermath
MathLanguage	math-nonmath
MathLanguage	nonmath-math
MathLanguage	theory_of_mind-general
MathLanguage	theory_of_mind-context
MathLanguage	theory_of_mind_and_context-general
MathLanguage	theory_of_mind-general
MathLanguage	visual-auditory
SpatialNavigation	experimental-intersection
SpatialNavigation	experimental-control
SpatialNavigation	intersection
SpatialNavigation	experimental
SpatialNavigation	retrieval
SpatialNavigation	pointing_experimental
SpatialNavigation	control
SpatialNavigation	navigation
SpatialNavigation	pointing_control
EmoMem	positive-neutral_image
EmoMem	negative-neutral_image
EmoReco	angry-neutral
EmoReco	angry
EmoReco	neutral
StopNogo	nogo-go
StopNogo	unsuccessful-successful_stop
StopNogo	successful+nogo-unsuccessful
Catell	hard-easy
VSTMC	stim_load3-load1
VSTMC	resp_load3-load1
VSTMC	stim
VSTMC	resp
FingerTapping	chosen-specified
FingerTapping	specified-null
FingerTapping	chosen-null
FaceBody	bodies_body
FaceBody	bodies_limb
FaceBody	bodies-others
FaceBody	places_house
FaceBody	places_corridor
FaceBody	places-others
FaceBody	faces_child
FaceBody	faces_adult
FaceBody	faces-others
FaceBody	objects_car
FaceBody	objects_instrument
FaceBody	objects-others
FaceBody	characters_word
FaceBody	characters_number
FaceBody	characters-others
Scene	scene_impossible_correct
Scene	scene_impossible_incorrect
Scene	scene_possible_incorrect
Scene	scene_possible_correct
Scene	scene_possible_correct-scene_impossible_correct
Scene	scene_correct-dot_correct
Scene	dot_left-right
Scene	dot_hard-easy
NARPS	gain
NARPS	loss
NARPS	weakly_accept
NARPS	weakly_reject
NARPS	strongly_accept
NARPS	strongly_reject
NARPS	reject-accept
NARPS	accept-reject
