contrast	task	pretty name	left label	right label	visual form recognition	feature comparison	response selection	response execution	emotional face recognition	animacy perception	animacy decision	motion detection	working memory	left finger response execution	left toe response execution	tongue response execution	right finger response execution	right toe response execution	updating	visual tool recognition	tool maintenance	body maintenance	visual body recognition	place maintenance	visual place recognition	face maintenance	visual face recognition	auditory sentence recognition	story comprehension	auditory arithmetic processing	visual arithmetic processing	reward processing	punishment processing	relational comparison	visual pattern recognition	visual pseudo word recognition	visual word recognition	word maintenance	sentence processing	syntactic parsing	string maintenance	visual string recognition	vertical checkerboard	horizontal checkerboard	Visual tracking	grasping	Hand chirality recognition	Hand side recognition	sounds perception	voice perception	theory of mind	emotion expression identification	gender discrimination	facial trustworthiness recognition
left_hand-avg	hcp_motor	Move left hand vs right hand, feet and tongue	any motion	left hand				1.0						1.0																																								
right_hand-avg	hcp_motor	Move right hand vs left hand, feet and tongue	any motion	right hand				1.0									1.0																																					
left_foot-avg	hcp_motor	Move left foot vs right foot, hands and tongue	any motion	left foot				1.0							1.0																																							
right_foot-avg	hcp_motor	Move right foot vs left foot, hands and tongue	any motion	right foot				1.0										1.0																																				
tongue-avg	hcp_motor	Move tongue vs hands and feet	any motion	tongue				1.0								1.0																																						
left_hand	hcp_motor	Move left hand						1.0						1.0																																								
right_hand	hcp_motor	Move right hand 						1.0									1.0																																					
left_foot	hcp_motor	Move left foot 						1.0							1.0																																							
right_foot	hcp_motor	Move right foot 						1.0										1.0																																				
tongue	hcp_motor	Move tongue						1.0								1.0																																						
cue	hcp_motor	Motion cue					1.0						1.0																																									
shape	hcp_emotion	Shape comparison	fixation cross	shape outline	1.0	1.0	1.0	1.0																																														
face-shape	hcp_emotion	Emotional face comparison vs shape comparison	shape outline	face image		1.0	1.0	1.0	1.0																																													
face	hcp_emotion	Emotional face comparison				1.0	1.0	1.0	1.0																																													
shape-face	hcp_emotion	shape comparison vs Emotional face comparison			1.0	1.0	1.0	1.0																																														
relational-match	hcp_relational	Relational comparison vs matching	visual matching	relational processing	1.0	1.0	1.0	1.0																										1.0	1.0																			
match	hcp_relational	Visual feature matching	fixation	visual matching	1.0	1.0	1.0	1.0																											1.0																			
relational	hcp_relational	Relational comparison			1.0	1.0	1.0	1.0																										1.0	1.0																			
2back-0back	hcp_wm	2-back vs 0-back	0-back	2-back			1.0	1.0					1.0						1.0		1.0	1.0		1.0		1.0																												
body-avg	hcp_wm	Body image versus face, place, tool	any image	body image				1.0					1.0						1.0			1.0	1.0																															
face-avg	hcp_wm	Face image versus body, place, tool	any image	face image				1.0					1.0						1.0							1.0	1.0																											
place-avg	hcp_wm	Place image versus face, body, tool	any image	place image				1.0					1.0						1.0					1.0	1.0																													
tools-avg	hcp_wm	Tool image versus face, place, body	any image	tool image				1.0					1.0						1.0	1.0	1.0																																	
0back-2back	hcp_wm	0-back vs 2-back					1.0	1.0											1.0																																			
0back_body	hcp_wm	Body image 0-back task						1.0					1.0									1.0	1.0																															
2back_body	hcp_wm	Body image 2-back task						1.0					1.0						1.0			1.0	1.0																															
0back_face	hcp_wm	Face image 0-back task						1.0					1.0													1.0	1.0																											
2back_face	hcp_wm	Face image 2-back task						1.0					1.0						1.0							1.0	1.0																											
0back_tools	hcp_wm	Tool image 0-back task						1.0					1.0							1.0	1.0																																	
2back_tools	hcp_wm	Tool image 2-back task						1.0					1.0						1.0	1.0	1.0																																	
0back_place	hcp_wm	Place image 0-back task						1.0					1.0											1.0	1.0																													
2back_place	hcp_wm	Face image 0-back task						1.0					1.0						1.0					1.0	1.0																													
complex-simple	language_	Read sentence with complex vs simple syntax	simple sentence	complex sentence									1.0																								1.0	1.0	1.0	1.0														
sentence-jabberwocky	language_	Read sentence vs jabberwocky	read jabberwocky	read sentence									1.0																								1.0	1.0	1.0	1.0														
sentence-word	language_	Read sentence vs words	read words	read sentence									1.0																								1.0	1.0	1.0	1.0														
word-consonant_string	language_	Read words vs consonant strings	consonant strings	read words									1.0																								1.0	1.0																
jabberworcky-pseudo	language_	Read jabberwocky vs pseudo words	read pseudo words	read jabberwocky									1.0																							1.0			1.0															
word-pseudo	language_	Read words vs pseudo-words	read pseudo words	read words									1.0																								1.0	1.0																
pseudo-consonant_string	language_	Read pseudo words vs consonant strings	consonant strings	read pseudo words									1.0																							1.0																		
consonant_string	language_	Read and encode consonant strings	fixation	consonant strings									1.0																												1.0	1.0												
complex	language_	Read sentence with complex  syntax											1.0																								1.0	1.0	1.0	1.0														
simple	language_	Read sentence with  simple syntax											1.0																								1.0	1.0	1.0															
jabberwocky	language_	Read jabberwocky											1.0																							1.0			1.0															
word_list	language_	Read words											1.0																								1.0	1.0																
pseudoword_list	language_	Read pseudo-words											1.0																							1.0																		
sentence-consonant_string	language_	Read sentence vs consonant strings											1.0																								1.0	1.0	1.0	1.0														
simple-consonant_string	language_	Read simple sentence vs consonant strings											1.0																								1.0	1.0	1.0															
complex-consonant_string	language_	Read complex sentence vs consonant strings											1.0																								1.0	1.0	1.0	1.0														
sentence-pseudo	language_	Read sentence vs pseudo-words											1.0																								1.0	1.0	1.0	1.0														
probe	language_	Word probe					1.0	1.0																																														
