archi name,IBC task,IBC name
left-right,ArchiStandard,left-right_button_press
video-audio,ArchiStandard,reading-listening
motor-cognitive,ArchiStandard,motor-cognitive
reading-visual,ArchiStandard,reading-checkerboard
computation-sentences,ArchiStandard,computation-sentences
H-V,ArchiStandard,horizontal-vertical
saccade,ArchiSpatial,saccades
hand-side,ArchiSpatial,hand-side
grasp-orientation,ArchiSpatial,grasp-orientation
rotation_side,ArchiSpatial,rotation_side
object_orientation,ArchiSpatial,object_orientation
intention-random,ArchiSocial,triangle_mental-random
false_belief-mechanistic_audio,ArchiSocial,false_belief-mechanistic_audio
triangle_random,ArchiSocial,triangle_random
mecanistic_audio,ArchiSocial,mechanistic_audio
mecanistic_video,ArchiSocial,mechanistic_video
non_speech,ArchiSocial,non_speech_sound
false_belief-mechanistic_video,ArchiSocial,false_belief-mechanistic_video
speech-non_speech,ArchiSocial,speech-non_speech
expression_sex-control,ArchiEmotional,expression_gender-control
expression_intention-sex,ArchiEmotional,expression_intention-gender
face_sex-control,ArchiEmotional,face_gender-control
face_trusty-sex,ArchiEmotional,face_trusty-gender
